number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
59,0.5565077959560998,0.5888999237236128,2025-12-22 19:44:07.261094,2025-12-22 19:44:18.371166,0 days 00:00:11.110072,0.0,5,0.28,12,14,21,0.5565077959560998,0.5888999237236128,40,0.4537313432835821,1,COMPLETE
60,0.5306038662835868,0.28766494791668423,2025-12-22 19:44:18.373005,2025-12-22 19:44:29.536573,0 days 00:00:11.163568,0.11,26,0.07,7,11,26,0.5306038662835868,0.28766494791668423,3,0.0024875621890547263,1,COMPLETE
61,0.7431288335438276,-0.20169284721687875,2025-12-22 19:44:29.538388,2025-12-22 19:44:37.781889,0 days 00:00:08.243501,0.27,29,0.15,19,2,3,0.7431288335438276,-0.20169284721687875,8,0.2044776119402985,1,COMPLETE
62,0.5263354266537066,0.5662923957576478,2025-12-22 19:44:37.783800,2025-12-22 19:44:48.487522,0 days 00:00:10.703722,0.2,9,0.06,10,11,19,0.5263354266537066,0.5662923957576478,48,0.2870646766169154,1,COMPLETE
63,0.4997520570759488,0.4412887886684526,2025-12-22 19:44:48.489343,2025-12-22 19:45:00.006284,0 days 00:00:11.516941,0.27,29,0.21,11,13,36,0.4997520570759488,0.4412887886684526,17,0.3781094527363184,1,COMPLETE
64,0.0,0.3811650556636976,2025-12-22 19:45:00.007747,2025-12-22 19:45:10.368698,0 days 00:00:10.360951,0.15,12,0.27,20,9,16,0.0,0.3811650556636976,2,0.016417910447761194,1,COMPLETE
65,0.4837914441814195,0.5488010733477932,2025-12-22 19:45:10.370708,2025-12-22 19:45:19.671213,0 days 00:00:09.300505,0.11,15,0.04,18,8,8,0.4837914441814195,0.5488010733477932,29,0.27562189054726366,1,COMPLETE
66,0.5770568095065823,0.25228248821822874,2025-12-22 19:45:19.673060,2025-12-22 19:45:30.661935,0 days 00:00:10.988875,0.27,40,0.08,2,15,17,0.5770568095065823,0.25228248821822874,17,0.18407960199004975,1,COMPLETE
67,0.480368851364801,0.5477973555842907,2025-12-22 19:45:30.663766,2025-12-22 19:45:40.471995,0 days 00:00:09.808229,0.18,2,0.24,14,4,18,0.480368851364801,0.5477973555842907,42,0.44776119402985076,1,COMPLETE
68,0.5530622116376169,0.42897204900562924,2025-12-22 19:45:40.473400,2025-12-22 19:45:50.601758,0 days 00:00:10.128358,0.02,15,0.3,19,4,29,0.5530622116376169,0.42897204900562924,16,0.44328358208955226,1,COMPLETE
69,0.4378481406587557,0.47998017043800334,2025-12-22 19:45:50.603613,2025-12-22 19:46:00.797602,0 days 00:00:10.193989,0.04,8,0.2,6,4,20,0.4378481406587557,0.47998017043800334,66,0.32288557213930347,1,COMPLETE
70,0.5037836498221884,0.4852178098831506,2025-12-22 19:46:00.799465,2025-12-22 19:46:12.736098,0 days 00:00:11.936633,0.08,24,0.3,12,15,33,0.5037836498221884,0.4852178098831506,16,0.373134328358209,1,COMPLETE
71,0.5928500876680118,0.357494370090232,2025-12-22 19:46:12.737904,2025-12-22 19:46:22.499946,0 days 00:00:09.762042,0.21,34,0.29,14,4,20,0.5928500876680118,0.357494370090232,12,0.3845771144278607,1,COMPLETE
