number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
51,0.40418035206397285,0.646303783637518,2025-12-22 19:42:07.700170,2025-12-22 19:42:18.569193,0 days 00:00:10.869023,0.25,9,0.13,12,15,14,0.40418035206397285,0.646303783637518,58,0.2800995024875622,1,COMPLETE
52,0.6828093631559072,0.21007075689329957,2025-12-22 19:42:18.570997,2025-12-22 19:42:28.999785,0 days 00:00:10.428788,0.21,43,0.22,13,11,25,0.6828093631559072,0.21007075689329957,10,0.29950248756218906,1,COMPLETE
53,0.4462303789784046,0.4118128698413726,2025-12-22 19:42:29.002563,2025-12-22 19:42:39.118777,0 days 00:00:10.116214,0.01,15,0.3,10,8,23,0.4462303789784046,0.4118128698413726,35,0.3646766169154229,1,COMPLETE
54,0.5932641054448744,0.5177222781844578,2025-12-22 19:42:39.120565,2025-12-22 19:42:49.740297,0 days 00:00:10.619732,0.04,20,0.15,18,7,37,0.5932641054448744,0.5177222781844578,21,0.42587064676616915,1,COMPLETE
55,0.5925273976048965,-0.17033757196991692,2025-12-22 19:42:49.742118,2025-12-22 19:42:59.697545,0 days 00:00:09.955427,0.26,34,0.17,4,2,47,0.5925273976048965,-0.17033757196991692,14,0.16716417910447762,1,COMPLETE
56,0.6447130325719805,0.1828582841114245,2025-12-22 19:42:59.699545,2025-12-22 19:43:09.912293,0 days 00:00:10.212748,0.1,46,0.27,3,12,16,0.6447130325719805,0.1828582841114245,12,0.2218905472636816,1,COMPLETE
57,0.6148093001256041,0.3695429738486907,2025-12-22 19:43:09.914708,2025-12-22 19:43:21.934273,0 days 00:00:12.019565,0.18,28,0.15,17,15,48,0.6148093001256041,0.3695429738486907,13,0.3283582089552239,1,COMPLETE
58,0.724441987656678,0.15316254221759387,2025-12-22 19:43:21.935901,2025-12-22 19:43:32.952494,0 days 00:00:11.016593,0.04,45,0.15,3,10,50,0.724441987656678,0.15316254221759387,12,0.26616915422885573,1,COMPLETE
59,0.5444765106905759,0.6540678203877881,2025-12-22 19:43:32.954240,2025-12-22 19:43:43.399203,0 days 00:00:10.444963,0.14,10,0.0,20,10,28,0.5444765106905759,0.6540678203877881,30,0.372636815920398,1,COMPLETE
60,0.6009635200235682,0.21152272845562917,2025-12-22 19:43:43.400997,2025-12-22 19:43:53.510622,0 days 00:00:10.109625,0.18,40,0.15,1,7,23,0.6009635200235682,0.21152272845562917,16,0.3169154228855721,1,COMPLETE
61,0.0,0.29902894045249334,2025-12-22 19:43:53.512436,2025-12-22 19:44:03.729601,0 days 00:00:10.217165,0.01,50,0.22,10,11,14,0.0,0.29902894045249334,2,0.0263681592039801,1,COMPLETE
62,0.5090682860111985,0.3461837711390894,2025-12-22 19:44:03.731415,2025-12-22 19:44:13.003960,0 days 00:00:09.272545,0.2,45,0.0,5,10,8,0.5090682860111985,0.3461837711390894,20,0.20398009950248755,1,COMPLETE
63,0.3935297709722216,0.3865674975277517,2025-12-22 19:44:13.005749,2025-12-22 19:44:22.363712,0 days 00:00:09.357963,0.06,22,0.12,1,13,6,0.3935297709722216,0.3865674975277517,39,0.19154228855721392,1,COMPLETE
64,0.0,0.3352218175066404,2025-12-22 19:44:22.365530,2025-12-22 19:44:33.350005,0 days 00:00:10.984475,0.01,27,0.28,13,8,46,0.0,0.3352218175066404,2,0.044278606965174126,1,COMPLETE
65,0.8173595913191998,0.2730570661422186,2025-12-22 19:44:33.351870,2025-12-22 19:44:44.804824,0 days 00:00:11.452954,0.26,23,0.18,19,12,42,0.8173595913191998,0.2730570661422186,3,0.023880597014925373,1,COMPLETE
66,0.5261207093588469,0.4989480605060803,2025-12-22 19:44:44.806461,2025-12-22 19:44:55.876874,0 days 00:00:11.070413,0.1,22,0.1,14,11,44,0.5261207093588469,0.4989480605060803,25,0.38407960199004976,1,COMPLETE
67,0.4097511710691495,0.57687958966689,2025-12-22 19:44:55.878660,2025-12-22 19:45:08.141183,0 days 00:00:12.262523,0.19,5,0.0,12,15,48,0.4097511710691495,0.57687958966689,55,0.31840796019900497,1,COMPLETE
68,0.6440601162149572,0.31781472498856983,2025-12-22 19:45:08.143032,2025-12-22 19:45:18.528101,0 days 00:00:10.385069,0.14,40,0.15,8,11,23,0.6440601162149572,0.31781472498856983,13,0.2517412935323383,1,COMPLETE
69,0.44764975078422514,0.4893057008936954,2025-12-22 19:45:18.530169,2025-12-22 19:45:28.739069,0 days 00:00:10.208900,0.01,23,0.22,13,15,10,0.44764975078422514,0.4893057008936954,24,0.2855721393034826,1,COMPLETE
70,0.6360117020353931,0.4556104463809657,2025-12-22 19:45:28.740666,2025-12-22 19:45:38.875559,0 days 00:00:10.134893,0.2,32,0.1,19,4,44,0.6360117020353931,0.4556104463809657,13,0.43283582089552236,1,COMPLETE
71,0.7424677368568544,0.4401651366548962,2025-12-22 19:45:38.877365,2025-12-22 19:45:49.152485,0 days 00:00:10.275120,0.1,30,0.1,20,9,28,0.7424677368568544,0.4401651366548962,14,0.37661691542288556,1,COMPLETE
72,0.4442551027239489,0.4494668417867851,2025-12-22 19:45:49.154086,2025-12-22 19:46:00.636199,0 days 00:00:11.482113,0.21,16,0.12,3,15,25,0.4442551027239489,0.4494668417867851,49,0.21990049751243781,1,COMPLETE
73,0.49285463331070284,0.43646406433886775,2025-12-22 19:46:00.637972,2025-12-22 19:46:10.547465,0 days 00:00:09.909493,0.03,13,0.17,16,2,40,0.49285463331070284,0.43646406433886775,31,0.39104477611940297,1,COMPLETE
74,0.5349212487460857,0.22738946663144033,2025-12-22 19:46:10.549672,2025-12-22 19:46:20.264814,0 days 00:00:09.715142,0.01,46,0.27,10,7,16,0.5349212487460857,0.22738946663144033,10,0.3417910447761194,1,COMPLETE
75,0.4863420256224322,0.46037227680779036,2025-12-22 19:46:20.266449,2025-12-22 19:46:31.799985,0 days 00:00:11.533536,0.28,21,0.18,11,15,32,0.4863420256224322,0.46037227680779036,26,0.32039800995024875,1,COMPLETE
76,0.5559922401964942,0.37146604979378106,2025-12-22 19:46:31.801635,2025-12-22 19:46:41.825774,0 days 00:00:10.024139,0.05,23,0.19,9,5,26,0.5559922401964942,0.37146604979378106,26,0.32736318407960197,1,COMPLETE
77,0.4237723027938323,0.512137867560887,2025-12-22 19:46:41.827740,2025-12-22 19:46:49.864396,0 days 00:00:08.036656,0.13,18,0.17,19,3,3,0.4237723027938323,0.512137867560887,24,0.39303482587064675,1,COMPLETE
78,0.4257631935200874,0.3443702555180435,2025-12-22 19:46:49.866169,2025-12-22 19:47:02.088806,0 days 00:00:12.222637,0.29,14,0.02,1,15,48,0.4257631935200874,0.3443702555180435,43,0.1208955223880597,1,COMPLETE
79,0.5739305278408624,0.5024937245407062,2025-12-22 19:47:02.090473,2025-12-22 19:47:12.225870,0 days 00:00:10.135397,0.26,5,0.17,19,3,46,0.5739305278408624,0.5024937245407062,27,0.5517412935323384,1,COMPLETE
80,0.0,0.5508469260253521,2025-12-22 19:47:12.227731,2025-12-22 19:47:22.869857,0 days 00:00:10.642126,0.25,40,0.29,1,15,12,0.0,0.5508469260253521,2,0.03980099502487562,1,COMPLETE
81,0.7241335141666517,0.33631991947759804,2025-12-22 19:47:22.871544,2025-12-22 19:47:32.963052,0 days 00:00:10.091508,0.24,44,0.03,9,8,23,0.7241335141666517,0.33631991947759804,13,0.16716417910447762,1,COMPLETE
82,0.6828093631559072,0.21007075689329957,2025-12-22 19:47:32.964642,2025-12-22 19:47:43.444879,0 days 00:00:10.480237,0.01,43,0.22,13,11,25,0.6828093631559072,0.21007075689329957,10,0.29950248756218906,1,COMPLETE
83,0.7021336872619066,0.32562571096858123,2025-12-22 19:47:43.447061,2025-12-22 19:47:54.875584,0 days 00:00:11.428523,0.01,44,0.22,10,15,32,0.7021336872619066,0.32562571096858123,11,0.4044776119402985,1,COMPLETE
84,0.5439626521916776,0.4514913039054377,2025-12-22 19:47:54.876891,2025-12-22 19:48:05.687172,0 days 00:00:10.810281,0.2,21,0.3,14,7,48,0.5439626521916776,0.4514913039054377,20,0.46616915422885574,1,COMPLETE
85,0.5726430902182468,0.2667614266022161,2025-12-22 19:48:05.688502,2025-12-22 19:48:15.811830,0 days 00:00:10.123328,0.2,27,0.1,1,7,22,0.5726430902182468,0.2667614266022161,26,0.23283582089552238,1,COMPLETE
86,0.7222399745305418,0.3705383785534411,2025-12-22 19:48:15.813697,2025-12-22 19:48:26.150439,0 days 00:00:10.336742,0.04,39,0.11,19,10,25,0.7222399745305418,0.3705383785534411,10,0.3218905472636816,1,COMPLETE
87,0.5678426884982593,0.5752048568213773,2025-12-22 19:48:26.151915,2025-12-22 19:48:36.641536,0 days 00:00:10.489621,0.06,22,0.08,18,7,34,0.5678426884982593,0.5752048568213773,23,0.39154228855721396,1,COMPLETE
88,0.23641870644347127,0.6170964534518034,2025-12-22 19:48:36.643356,2025-12-22 19:48:47.925253,0 days 00:00:11.281897,0.15,2,0.14,5,8,28,0.23641870644347127,0.6170964534518034,135,0.2054726368159204,1,COMPLETE
89,0.42662484883931495,0.3919197721678721,2025-12-22 19:48:47.926626,2025-12-22 19:49:00.009257,0 days 00:00:12.082631,0.26,13,0.11,2,14,48,0.42662484883931495,0.3919197721678721,57,0.23283582089552238,1,COMPLETE
90,0.4681474759467208,0.45069649729412103,2025-12-22 19:49:00.011064,2025-12-22 19:49:10.086061,0 days 00:00:10.074997,0.04,18,0.03,9,7,19,0.4681474759467208,0.45069649729412103,34,0.1054726368159204,1,COMPLETE
91,0.5092256107906601,0.3708676076292417,2025-12-22 19:49:10.087784,2025-12-22 19:49:19.380937,0 days 00:00:09.293153,0.18,25,0.13,12,11,7,0.5092256107906601,0.3708676076292417,24,0.19701492537313434,1,COMPLETE
92,0.6832189502999511,0.3839899742967872,2025-12-22 19:49:19.382785,2025-12-22 19:49:31.032508,0 days 00:00:11.649723,0.2,45,0.1,19,14,48,0.6832189502999511,0.3839899742967872,9,0.34875621890547265,1,COMPLETE
93,0.6441043300335723,0.089881110218161,2025-12-22 19:49:31.034541,2025-12-22 19:49:42.553052,0 days 00:00:11.518511,0.01,45,0.13,1,14,42,0.6441043300335723,0.089881110218161,14,0.25920398009950246,1,COMPLETE
94,0.463775360924988,0.3874766555752603,2025-12-22 19:49:42.554705,2025-12-22 19:49:53.705642,0 days 00:00:11.150937,0.26,23,0.02,1,11,44,0.463775360924988,0.3874766555752603,27,0.24427860696517412,1,COMPLETE
95,0.3571151294406032,0.3423488268343759,2025-12-22 19:49:53.707629,2025-12-22 19:50:03.282842,0 days 00:00:09.575213,0.2,22,0.27,3,12,8,0.3571151294406032,0.3423488268343759,35,0.22238805970149253,1,COMPLETE
96,0.5409984399163009,0.519238713179017,2025-12-22 19:50:03.284507,2025-12-22 19:50:13.805468,0 days 00:00:10.520961,0.21,16,0.01,18,7,34,0.5409984399163009,0.519238713179017,28,0.3537313432835821,1,COMPLETE
97,0.6097989736310742,0.20360775492895009,2025-12-22 19:50:13.807309,2025-12-22 19:50:24.391991,0 days 00:00:10.584682,0.04,43,0.15,4,6,48,0.6097989736310742,0.20360775492895009,16,0.23532338308457712,1,COMPLETE
98,0.0,-0.1011650358302813,2025-12-22 19:50:24.394363,2025-12-22 19:50:34.300034,0 days 00:00:09.905671,0.16,50,0.03,7,2,34,0.0,-0.1011650358302813,2,0.012935323383084577,1,COMPLETE
99,0.5229731989624032,0.18444700537750613,2025-12-22 19:50:34.301760,2025-12-22 19:50:44.196828,0 days 00:00:09.895068,0.05,27,0.25,5,4,31,0.5229731989624032,0.18444700537750613,20,0.31791044776119404,1,COMPLETE
